H2_wing
T5-a0.0°-30.0m/s-TriUniform-ThickSurf-x0.04m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15       0.3382     0.010901    0.0070195    0.0038811   4.4779e-21    -0.057255   0.00012466    -0.057379   -0.0046453   0.00046567  -7.8315e-08   0.00046575       31.026       18.043       1.7195        50.71       1.6146      0.58193   6.7141e-19        50.71      0.57292     0.028066       50.465            0            0            0       29.984            0           30       1.8461      -1.1841      -1.3736       0.1187     0.066887     -0.02335     0.010302       9.0965            0       49.033      0.88291     0.022621            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -14.5      0.33976     0.010923    0.0070238     0.003899   4.4985e-21    -0.057518   0.00012503    -0.057643   -0.0045041   0.00045153  -7.1039e-08    0.0004516       31.105       18.131       1.7156       50.943       1.6191      0.58461    6.745e-19       50.943      0.57558     0.027219       50.697            0            0            0       29.985            0           30       1.8414      -1.1481      -1.3799      0.11509     0.066887    -0.022537       0.0103       9.1383            0       49.133      0.88697     0.022725            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -14      0.34127     0.010945    0.0070282    0.0039163   4.5184e-21    -0.057774   0.00012538    -0.057899   -0.0043617   0.00043725  -6.9008e-08   0.00043732       31.182       18.216       1.7118        51.17       1.6236      0.58721   6.7749e-19        51.17      0.57816     0.026365       50.922            0            0            0       29.985            0           30       1.8369      -1.1118       -1.386      0.11145     0.066887    -0.021727     0.010298       9.1788            0       49.231      0.89091     0.022826            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -13.5      0.34273     0.010966    0.0070326    0.0039331   4.5377e-21    -0.058021   0.00012573    -0.058147   -0.0042178   0.00042283   -6.713e-08    0.0004229       31.255       18.297       1.7081       51.389       1.6279      0.58972   6.8038e-19       51.389      0.58065     0.025502        51.14            0            0            0       29.985            0           30       1.8326      -1.0751      -1.3919      0.10778     0.066887    -0.020921     0.010296        9.218            0       49.326      0.89472     0.022924            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -13      0.34414     0.010986    0.0070369    0.0039493   4.5564e-21     -0.05826   0.00012607    -0.058386   -0.0040727   0.00040829  -6.4968e-08   0.00040836       31.325       18.376       1.7046         51.6       1.6321      0.59215   6.8318e-19         51.6      0.58306     0.024632       51.351            0            0            0       29.985            0           30       1.8285      -1.0381      -1.3977      0.10407     0.066886    -0.020119     0.010294       9.2558            0       49.418       0.8984     0.023018            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -12.5       0.3455     0.011006    0.0070411    0.0039649   4.5744e-21     -0.05849   0.00012639    -0.058616   -0.0039264   0.00039362  -6.3064e-08   0.00039369       31.392       18.452       1.7013       51.804       1.6361       0.5945   6.8588e-19       51.804      0.58538     0.023753       51.554            0            0            0       29.985            0           30       1.8246      -1.0008      -1.4032      0.10033     0.066886    -0.019319     0.010292       9.2924            0       49.507      0.90196     0.023109            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -12      0.34681     0.011025    0.0070452    0.0039799   4.5917e-21    -0.058712   0.00012671    -0.058839   -0.0037789   0.00037884  -6.0767e-08    0.0003789       31.456       18.525       1.6981       52.001       1.6401      0.59675   6.8848e-19       52.001      0.58762     0.022868       51.749            0            0            0       29.985            0           30       1.8208     -0.96322      -1.4085     0.096565     0.066886    -0.018523     0.010291       9.3275            0       49.593      0.90538     0.023197            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -11.5      0.34807     0.011044    0.0070494    0.0039944   4.6084e-21    -0.058925   0.00012701    -0.059053   -0.0036302   0.00036396  -3.3529e-08   0.00036399       31.518       18.595        1.695        52.19       1.6439      0.59892   6.9098e-19        52.19      0.58977     0.021975       51.938            0            0            0       29.985            0           30       1.8173     -0.92532      -1.4136     0.092773     0.066886     -0.01773     0.010289       9.3614            0       49.677      0.90867     0.023281            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -11      0.34928     0.011062    0.0070535    0.0040083   4.6243e-21     -0.05913   0.00012731    -0.059258   -0.0034804   0.00034895  -3.2632e-08   0.00034898       31.576       18.661        1.692       52.372       1.6476      0.60101   6.9337e-19       52.372      0.59184     0.021076       52.118            0            0            0       29.985            0           30        1.814     -0.88714      -1.4186     0.088946     0.066886    -0.016939     0.010288       9.3938            0       49.758      0.91183     0.023362            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -10.5      0.35044     0.011079    0.0070576    0.0040216   4.6397e-21    -0.059327   0.00012759    -0.059454   -0.0033295   0.00033383  -3.1261e-08   0.00033386       31.631       18.725       1.6892       52.545       1.6511        0.603   6.9567e-19       52.545      0.59382      0.02017       52.291            0            0            0       29.985            0           30       1.8108     -0.84869      -1.4233     0.085091     0.066886    -0.016151     0.010286       9.4249            0       49.836      0.91486      0.02344            0            0            0            0            0            0            0            0            0            0         0.04            0  
