H2_w1
T1-30.0 m/s-TriUniform-ThickSurf-x0.04m
Freestream speed = 30.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -24.5            0      -1.6093      0.31367      0.20266      0.11101   1.8571e-19    -0.068126    0.0033714    -0.071497  -3.7036e-05  -1.3465e-05  -2.6837e-06  -1.0781e-05      -5.1307      -6.5088            0      -164.66       32.092      -57.946      1.9e-17      -154.54      -28.226    0.0027428      -154.74            0            0            0       29.446            0           30      -11.029   -0.0045304      -1.1152   0.00036862     0.028433   2.6203e-05    0.0025564      -22.169            0       962.77       1.0243    -0.045758            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -24            0      -1.5739      0.30501      0.19871       0.1063   1.7727e-19    -0.067897    0.0033191    -0.071216  -3.6139e-05  -1.2899e-05  -2.6948e-06  -1.0204e-05      -5.1601      -6.4735            0      -161.03       31.206       -55.56   1.8137e-17      -151.53      -26.948    0.0026422      -151.85            0            0            0       29.452            0           30      -10.968   -0.0044108      -1.1115   0.00034598     0.028513   2.6158e-05    0.0025815      -21.736            0       936.19       1.0231    -0.044876            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -23.5            0      -1.5381      0.29634      0.19469      0.10165     1.69e-19    -0.067669    0.0032649    -0.070934  -3.5253e-05  -1.2412e-05  -2.7632e-06  -9.6486e-06      -5.1905      -6.4374            0      -157.37       30.319      -53.214   1.7291e-17      -148.47      -25.694     0.002543      -148.91            0            0            0       29.458            0           30      -10.905   -0.0042934      -1.1077   0.00031742     0.028582   2.6125e-05    0.0026055      -21.296            0       909.56       1.0219    -0.043963            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -23            0      -1.5022      0.28777      0.19071      0.09706    1.609e-19     -0.06744    0.0032106    -0.070651  -3.4379e-05  -1.1699e-05  -2.5843e-06  -9.1147e-06        -5.22      -6.3978            0      -153.69       29.442       -50.91   1.6462e-17      -145.35      -24.466    0.0024452      -145.91            0            0            0       29.464            0           30      -10.845   -0.0041785       -1.104   0.00031616      0.02864   2.6102e-05    0.0026284      -20.848            0       883.27       1.0207    -0.043022            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -22.5            0      -1.4659       0.2794      0.18687     0.092536   1.5298e-19    -0.067208    0.0031579    -0.070366  -3.3518e-05  -1.0249e-05  -1.6465e-06   -8.602e-06      -5.2467      -6.3525            0      -149.98       28.586      -48.649   1.5652e-17      -142.19      -23.263    0.0023488      -142.86            0            0            0        29.47            0           30      -10.791   -0.0040659      -1.1002    0.0003986     0.028685   2.6093e-05    0.0026501      -20.394            0       857.59       1.0196    -0.042051            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -22            0      -1.4295      0.27099       0.1829     0.088082   1.4524e-19    -0.066978    0.0031023    -0.070081  -3.2672e-05   -1.103e-05  -2.9198e-06  -8.1101e-06      -5.2751      -6.3069            0      -146.25       27.725      -46.431    1.486e-17      -138.98      -22.086    0.0022539      -139.76            0            0            0       29.475            0           30      -10.734   -0.0039558      -1.0964   0.00023882     0.028718   2.6097e-05    0.0026704      -19.933            0       831.76       1.0185    -0.041052            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -21.5            0      -1.3928      0.26239      0.17869     0.083702   1.3769e-19    -0.066752    0.0030418    -0.069794  -3.1839e-05  -1.0402e-05  -2.7635e-06  -7.6387e-06       -5.308      -6.2642            0       -142.5       26.846      -44.257   1.4087e-17      -135.72      -20.936    0.0021605       -136.6            0            0            0       29.481            0           30      -10.669   -0.0038481      -1.0927   0.00023626     0.028738   2.6117e-05    0.0026893      -19.465            0       805.37       1.0175    -0.040025            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -21            0      -1.3558       0.2537      0.17431     0.079399   1.3031e-19    -0.066529    0.0029776    -0.069507  -3.1022e-05  -1.0075e-05  -2.8878e-06  -7.1872e-06      -5.3441      -6.2227            0      -138.72       25.957      -42.128   1.3333e-17      -132.41      -19.811    0.0020686       -133.4            0            0            0       29.488            0           30      -10.599   -0.0037429      -1.0891    0.0002031     0.028743   2.6155e-05    0.0027065       -18.99            0       778.71       1.0165     -0.03897            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -20.5            0      -1.3187      0.24477       0.1696     0.075176   1.2312e-19    -0.066312    0.0029072    -0.069219   -3.022e-05   -9.629e-06  -2.8736e-06  -6.7554e-06      -5.3873      -6.1863            0      -134.91       25.043      -40.044   1.2597e-17      -129.06      -18.714    0.0019783      -130.14            0            0            0       29.496            0           30      -10.516   -0.0036402      -1.0855   0.00018561     0.028732   2.6212e-05    0.0027218      -18.508            0        751.3       1.0155    -0.037888            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -20            0      -1.2813      0.23548      0.16444     0.071038   1.1613e-19    -0.066102    0.0028282     -0.06893  -2.9434e-05  -9.7249e-06  -3.3823e-06  -6.3426e-06      -5.4411       -6.159            0      -131.09       24.092      -38.005   1.1881e-17      -125.67      -17.644    0.0018895      -126.83            0            0            0       29.506            0           30      -10.414     -0.00354      -1.0821   0.00011019     0.028705    2.629e-05    0.0027352      -18.021            0       722.77       1.0146    -0.036779            0            0            0            0            0            0            0            0            0            0         0.04            0  
