H2_w1
T5-a0.0°-30.0m/s-TriUniform-ThickSurf-x0.04m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.30382     0.011425    0.0069751      0.00445   5.9856e-21     -0.05341   0.00012388    -0.053534   -0.0057436   0.00060105  -1.1246e-07   0.00060117       26.592       14.657       1.8142       31.084       1.1534      0.45529    6.124e-19       31.084      0.13091      0.03227       30.514            0            0            0       29.979            0           30       2.1536     -0.68166     -0.87432     0.071334     0.067412    -0.021928     0.010759       4.4968            0       35.068       0.9107     0.020481            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -14.5      0.30527     0.011449    0.0069773     0.004472   6.0668e-21    -0.053671    0.0001242    -0.053795   -0.0055704   0.00058287  -1.1199e-07   0.00058298       26.663       14.732       1.8099       31.233       1.1568      0.45754   6.2071e-19       31.233      0.13166     0.031289        30.66            0            0            0       29.979            0           30       2.1479     -0.66111     -0.87859     0.069176     0.067415    -0.021166     0.010754       4.5181            0       35.142      0.91491      0.02058            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -14      0.30668     0.011473    0.0069794    0.0044933   6.1475e-21    -0.053925   0.00012451    -0.054049   -0.0053955    0.0005645  -1.1152e-07   0.00056461       26.731       14.803       1.8057       31.377       1.1601      0.45972   6.2896e-19       31.377       0.1324     0.030298       30.802            0            0            0       29.979            0           30       2.1424     -0.64035     -0.88275     0.066996     0.067418    -0.020407     0.010751       4.5388            0       35.214        0.919     0.020676            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -13.5      0.30805     0.011496    0.0069817    0.0045141   6.2274e-21    -0.054171   0.00012482    -0.054296   -0.0052189   0.00054596  -1.0907e-07   0.00054607       26.797       14.873       1.8017       31.517       1.1634      0.46184   6.3714e-19       31.517      0.13312     0.029298       30.939            0            0            0       29.979            0           30       2.1372     -0.61938     -0.88677     0.064796     0.067421    -0.019651     0.010747       4.5589            0       35.285      0.92295     0.020769            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -13      0.30937     0.011518     0.006984    0.0045341   6.3067e-21    -0.054409   0.00012512    -0.054534   -0.0050406   0.00052725  -1.0862e-07   0.00052736       26.859       14.939       1.7979       31.652       1.1665       0.4639   6.4526e-19       31.652      0.13382     0.028288       31.072            0            0            0       29.979            0           30       2.1322     -0.59823     -0.89068     0.062575     0.067424    -0.018899     0.010743       4.5783            0       35.353      0.92676     0.020859            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -12.5      0.31065      0.01154    0.0069862    0.0045536   6.3854e-21     -0.05464   0.00012541    -0.054765   -0.0048607   0.00050838  -1.0816e-07   0.00050848        26.92       15.004       1.7942       31.783       1.1696      0.46588    6.533e-19       31.783       0.1345      0.02727         31.2            0            0            0       29.979            0           30       2.1274     -0.57688     -0.89445     0.060335     0.067427    -0.018149     0.010739       4.5971            0        35.42      0.93045     0.020946            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -12      0.31188     0.011561    0.0069883    0.0045723   6.4632e-21    -0.054863   0.00012568    -0.054988   -0.0046794   0.00048934   -1.077e-07   0.00048945       26.978       15.066       1.7906       31.909       1.1726       0.4678   6.6127e-19       31.909      0.13516     0.026243       31.324            0            0            0       29.979            0           30       2.1229     -0.55536      -0.8981     0.058076      0.06743    -0.017403     0.010736       4.6152            0       35.484        0.934      0.02103            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -11.5      0.31307     0.011581    0.0069903    0.0045904   6.5404e-21    -0.055077   0.00012595    -0.055203   -0.0044965   0.00047016  -1.0722e-07   0.00047027       27.033       15.126       1.7872        32.03       1.1754      0.46966   6.6916e-19        32.03      0.13581     0.025207       31.444            0            0            0       29.979            0           30       2.1185     -0.53365     -0.90161     0.055799     0.067433     -0.01666     0.010733       4.6326            0       35.546      0.93741     0.021111            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -11      0.31421       0.0116    0.0069923    0.0046079   6.6167e-21    -0.055284    0.0001262     -0.05541   -0.0043122   0.00045083  -1.0676e-07   0.00045094       27.086       15.183        1.784       32.147       1.1782      0.47144   6.7697e-19       32.147      0.13643     0.024164       31.559            0            0            0        29.98            0           30       2.1143     -0.51178       -0.905     0.053505     0.067436    -0.015919     0.010729       4.6494            0       35.605      0.94069     0.021189            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -10.5       0.3153     0.011619    0.0069942    0.0046247   6.6923e-21    -0.055483   0.00012644     -0.05561   -0.0041266   0.00043136  -1.0634e-07   0.00043147       27.137       15.238       1.7809       32.259       1.1808      0.47316    6.847e-19       32.259      0.13704     0.023114       31.669            0            0            0        29.98            0           30       2.1104     -0.48975     -0.90825     0.051194     0.067439     -0.01518     0.010726       4.6655            0       35.662      0.94383     0.021264            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -10      0.31635     0.011637     0.006996    0.0046408   6.7671e-21    -0.055674   0.00012668      -0.0558   -0.0039396   0.00041176   -1.035e-07   0.00041186       27.186       15.291       1.7779       32.367       1.1834      0.47481   6.9235e-19       32.367      0.13763     0.022056       31.775            0            0            0        29.98            0           30       2.1066     -0.46756     -0.91138     0.048868     0.067442    -0.014445     0.010723       4.6809            0       35.717      0.94682     0.021336            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0         -9.5      0.31736     0.011654    0.0069979    0.0046562    6.841e-21    -0.055856    0.0001269    -0.055983   -0.0037514   0.00039202  -1.0312e-07   0.00039213       27.231       15.341       1.7751        32.47       1.1858      0.47639   6.9992e-19        32.47      0.13819     0.020991       31.875            0            0            0        29.98            0           30       2.1031     -0.44523     -0.91436     0.046526     0.067445    -0.013711      0.01072       4.6956            0       35.771      0.94968     0.021404            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0           -9      0.31832     0.011671    0.0069998     0.004671   6.9141e-21    -0.056031   0.00012712    -0.056158    -0.003562   0.00037217  -1.0272e-07   0.00037227       27.275       15.388       1.7724       32.567       1.1882      0.47789   7.0739e-19       32.567      0.13874     0.019919       31.972            0            0            0        29.98            0           30       2.0998     -0.42275     -0.91722      0.04417     0.067448     -0.01298     0.010717       4.7096            0       35.822       0.9524      0.02147            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0         -8.5      0.31922     0.011687    0.0070015     0.004685   6.9862e-21    -0.056197   0.00012732    -0.056324   -0.0033715    0.0003522  -1.0231e-07    0.0003523       27.316       15.433       1.7699       32.661       1.1904      0.47933   7.1477e-19       32.661      0.13927     0.018842       32.063            0            0            0        29.98            0           30       2.0966     -0.40013     -0.91994     0.041799     0.067451     -0.01225     0.010715       4.7229            0        35.87      0.95498     0.021532            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0           -8      0.32009     0.011702    0.0070032    0.0046984   7.0575e-21    -0.056355   0.00012751    -0.056482   -0.0031799   0.00033213  -8.8695e-08   0.00033222       27.354       15.476       1.7675       32.749       1.1925       0.4807   7.2207e-19       32.749      0.13978     0.017758        32.15            0            0            0        29.98            0           30       2.0937     -0.37739     -0.92252     0.039417     0.067454    -0.011523     0.010712       4.7355            0       35.916      0.95742     0.021591            0            0            0            0            0            0            0            0            0            0         0.04            0  
