MILVUS24_US_vtail
vtail_T5-a0.0°-25.0m/s-TriUniform-ThickSurf-x0.016m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15    0.0010978   -0.0020499      0.06845      -0.0705      0.37734     0.013294      0.08372    -0.070426     -0.16646   -0.0021478   -0.0021742   2.6494e-05     -0.53556    -0.017745       30.181     0.013602       1.2144     -0.87351       4.6753     0.013602      -0.7192       4.7535    -0.031463            0            0            0       11.803      -3171.4           25      -61.828      -1.3612      0.01153    -0.017563    -0.072715      -69.926       2.1914      0.86535  -1.9911e+05     -0.63496  -4.6347e-07  -7.9829e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0        -14.5    0.0011029    -0.015586     0.050391    -0.065977      0.36587   -0.0045365     0.061553    -0.066089      -0.1614  -0.00079426  -0.00081995   2.5689e-05    -0.070762     -0.00235       30.112     0.013665      0.96797     -0.81747       4.5333     0.013665     -0.67484       4.6091    -0.029115            0            0            0       1.7646       -23947           25      -85.952      -1.3199   -0.0039346   -0.0064951    -0.067191      -67.491       2.0578       0.8391  -1.5035e+06      -4.8278  -4.9982e-07  -7.4104e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0          -14    0.0011078    -0.035735      0.02586    -0.061595       0.3543    -0.030714     0.031173    -0.061887      -0.1563   5.4711e-05   2.9835e-05   2.4876e-05       -0.031   -0.0010318       30.045     0.013726      0.64191     -0.76317       4.3899     0.013726     -0.63186       4.4633     -0.02684            0            0            0      0.77464       -54542           25      -88.224      -1.2781    -0.026639    0.0004474    -0.061886      -65.067       1.9296       0.8126  -3.4244e+06      -11.069  -5.4014e-07  -6.8557e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0        -13.5    0.0011125    -0.033784      0.02357    -0.057354      0.34262    -0.029368     0.028452     -0.05782     -0.15114   5.1405e-05   2.7349e-05   2.4056e-05    -0.032931   -0.0010984       29.981     0.013785      0.59204     -0.71063       4.2451     0.013785     -0.59026       4.3161    -0.024638            0            0            0      0.82282       -51235           25      -88.114       -1.236    -0.025472   0.00042037    -0.056797      -62.653       1.8065      0.78585  -3.2168e+06      -10.465  -5.8506e-07  -6.3189e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0          -13    0.0011171    -0.031593     0.021662    -0.053256      0.33083     -0.02769     0.026201     -0.05389     -0.14594   4.5819e-05    2.259e-05   2.3228e-05    -0.035359   -0.0011818       29.919     0.013841      0.54755     -0.65985        4.099     0.013841     -0.55006       4.1676     -0.02251            0            0            0      0.88342       -47618           25      -87.975      -1.1934    -0.024016   0.00037468    -0.051921      -60.249       1.6886      0.75886  -2.9897e+06      -9.7863  -6.3528e-07  -5.8001e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0        -12.5    0.0011215    -0.029255     0.020047    -0.049302      0.31894     -0.02584     0.024259    -0.050098      -0.1407   4.0132e-05   1.7739e-05   2.2394e-05    -0.038336   -0.0012839        29.86     0.013896      0.50732     -0.61086       3.9517     0.013896     -0.51128       4.0179    -0.020457            0            0            0       0.9577       -43834           25      -87.805      -1.1506    -0.022411   0.00032818    -0.047253      -57.855       1.5757      0.73164  -2.7521e+06       -9.062  -6.9167e-07  -5.2996e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0          -12    0.0011258    -0.026813      0.01868    -0.045493      0.30695    -0.023854     0.022592    -0.046446     -0.13541   3.9394e-05   1.7842e-05   2.1552e-05    -0.041987   -0.0014088       29.804     0.013949      0.47084     -0.56367       3.8032     0.013949     -0.47392       3.8669     -0.01848            0            0            0       1.0487       -39947           25      -87.596      -1.1073    -0.020689   0.00032215    -0.042792      -55.471       1.4678       0.7042   -2.508e+06      -8.3055  -7.5528e-07  -4.8175e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0        -11.5    0.0011299    -0.024418     0.017412    -0.041831      0.29488    -0.021846     0.021088    -0.042934     -0.13008   3.5924e-05    1.522e-05   2.0704e-05    -0.046272   -0.0015554        29.75        0.014      0.43626     -0.51829       3.6536        0.014       -0.438       3.7147    -0.016578            0            0            0       1.1556       -36182           25      -87.351      -1.0637    -0.018948   0.00029377    -0.038534      -53.095       1.3649      0.67654  -2.2716e+06      -7.5637  -8.2739e-07  -4.3539e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0          -11    0.0011338    -0.022021     0.016295    -0.038316      0.28271    -0.019843      0.01972    -0.039564     -0.12471   3.3679e-05   1.3829e-05    1.985e-05    -0.051487   -0.0017337       29.698     0.014048      0.40424     -0.47475       3.5028     0.014048     -0.40353       3.5614    -0.014753            0            0            0       1.2855       -32460           25      -87.053      -1.0198    -0.017211   0.00027541    -0.034477      -50.727       1.2667      0.64868   -2.038e+06      -6.8212  -9.0958e-07   -3.909e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0        -10.5    0.0011376    -0.019798     0.015152     -0.03495      0.27045    -0.017994     0.018342    -0.036336     -0.11931   3.1259e-05    1.227e-05   1.8989e-05    -0.057459    -0.001938       29.649     0.014095      0.37261     -0.43304        3.351     0.014095     -0.37051        3.407    -0.013005            0            0            0       1.4341       -29038           25      -86.711     -0.97564    -0.015607   0.00025562    -0.030617      -48.368       1.1734      0.62062  -1.8231e+06      -6.1325  -1.0038e-06  -3.4829e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0          -10    0.0011412    -0.017714      0.01402    -0.031734      0.25811    -0.016303     0.016948    -0.033252     -0.11386   2.9843e-05    1.172e-05   1.8123e-05    -0.064422   -0.0021763       29.602     0.014139      0.34184     -0.39319       3.1981     0.014139     -0.33896       3.2516    -0.011335            0            0            0       1.6072       -25859           25      -86.314     -0.93113     -0.01414   0.00024404    -0.026953      -46.016       1.0848      0.59237  -1.6235e+06       -5.487  -1.1126e-06  -3.0758e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0         -9.5    0.0011446    -0.015836     0.012831    -0.028668       0.2457    -0.014832      0.01548    -0.030312     -0.10839   2.8155e-05   1.0904e-05   1.7251e-05    -0.072277   -0.0024453       29.558     0.014182       0.3111      -0.3552       3.0443     0.014182     -0.30889       3.0952   -0.0097437            0            0            0       1.8022       -23014           25      -85.866     -0.88634    -0.012864   0.00023024    -0.023481      -43.671       1.0008      0.56394  -1.4449e+06      -4.9054  -1.2389e-06  -2.6877e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0           -9    0.0011479    -0.014026     0.011728    -0.025754      0.23321    -0.013417       0.0141    -0.027517     -0.10288   2.2978e-05   6.6037e-06   1.6374e-05    -0.081839   -0.0027727       29.516     0.014222      0.28216     -0.31909       2.8895     0.014222     -0.28031       2.9378   -0.0082306            0            0            0       2.0392       -20296           25      -85.321     -0.84128    -0.011637    0.0001879    -0.020201      -41.333      0.92152      0.53534  -1.2743e+06      -4.3446   -1.387e-06  -2.3188e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0         -8.5    0.0011509    -0.011574     0.011417    -0.022992      0.22065    -0.011146     0.013723    -0.024869    -0.097336   1.9876e-05   4.3844e-06   1.5492e-05     -0.09944   -0.0033736       29.476     0.014261      0.26381     -0.28487       2.7339     0.014261     -0.25322       2.7796   -0.0067966            0            0            0       2.4738       -16682           25      -84.321     -0.79597   -0.0096668   0.00016254    -0.017109      -39.002      0.84676      0.50657  -1.0473e+06      -3.5852   -1.562e-06  -1.9692e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0           -8    0.0011539   -0.0089752     0.011408    -0.020383      0.20802   -0.0086391     0.013728    -0.022367    -0.091764   1.7539e-05   2.9336e-06   1.4605e-05     -0.12856    -0.004367       29.439     0.014297      0.24995     -0.25255       2.5774     0.014297     -0.22763       2.6205   -0.0054423            0            0            0       3.1878       -12887           25      -82.674     -0.75041   -0.0074928   0.00014343    -0.014204      -36.677      0.77651      0.47765  -8.0907e+05      -2.7801  -1.7708e-06   -1.639e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0         -7.5    0.0011566   -0.0064337     0.011495    -0.017929      0.19532   -0.0061601     0.013853    -0.020014    -0.086165   1.6459e-05   2.7443e-06   1.3714e-05     -0.17977   -0.0061139       29.404     0.014331      0.23807     -0.22214       2.4201     0.014331     -0.20356       2.4606   -0.0041679            0            0            0       4.4234      -9204.6           25      -79.809     -0.70462   -0.0053428   0.00013459    -0.011485      -34.357      0.71074      0.44859   -5.779e+05      -1.9929  -2.0228e-06  -1.3283e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0           -7    0.0011592   -0.0040504     0.011579    -0.015629      0.18257   -0.0038355     0.013973    -0.017808     -0.08054   1.5356e-05   2.5374e-06   1.2819e-05     -0.28619   -0.0097439       29.371     0.014363      0.22694     -0.19365       2.2621     0.014363       -0.181          2.3    -0.002974            0            0            0       6.8786      -5775.5           25      -74.029     -0.65862   -0.0033266   0.00012558   -0.0089479      -32.043       0.6494      0.41939  -3.6261e+05      -1.2546  -2.3308e-06  -1.0372e-05            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0         -6.5    0.0011616   -0.0018258     0.011659    -0.013485      0.16977   -0.0016635     0.014089    -0.015752     -0.07489   1.4382e-05   2.4626e-06    1.192e-05     -0.63621    -0.021683       29.341     0.014392      0.21657     -0.16708       2.1034     0.014392     -0.15997       2.1386   -0.0018608            0            0            0        13.42      -2595.4           25      -57.535     -0.61242   -0.0014427   0.00011761    -0.006593      -29.734      0.59245      0.39006  -1.6295e+05     -0.56555  -2.7125e-06  -7.6582e-06            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0           -6    0.0011638   0.00022539     0.011723    -0.011497      0.15691   0.00033995     0.014186    -0.013846    -0.069217   1.3873e-05   2.8563e-06   1.1017e-05       5.1635      0.17615       29.313      0.01442      0.20679     -0.14245       1.9441      0.01442     -0.14048       1.9766  -0.00082865            0            0            0       24.544       319.48           25       10.961     -0.56603   0.00029485   0.00011345   -0.0044182      -27.429      0.53986      0.36062        20058     0.069815  -3.1937e-06  -5.1419e-06            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0         -5.5    0.0011658    0.0020885     0.011755   -0.0096663        0.144    0.0021557     0.014246     -0.01209    -0.063524   1.2821e-05   2.7107e-06   1.0111e-05      0.55822      0.01906       29.287     0.014445      0.19743     -0.11977       1.7842     0.014445     -0.12252        1.814   0.00012205            0            0            0       12.186       2952.5           25       60.829     -0.51947    0.0018697   0.00010485   -0.0024223      -25.128       0.4916      0.33106   1.8537e+05      0.64693  -3.8121e-06  -2.8241e-06            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0           -5    0.0011677    0.0037866     0.011779   -0.0079926      0.13105    0.0038064     0.014292    -0.010485    -0.057811   1.1726e-05   2.5252e-06   9.2012e-06      0.30838     0.010538       29.264     0.014468      0.18881     -0.09903       1.6237     0.014468      -0.1061       1.6509   0.00099106            0            0            0       7.3672       5340.3           25       72.861     -0.47275    0.0033013   9.5894e-05  -0.00060411      -22.832      0.44763      0.30141   3.3529e+05       1.1729  -4.6251e-06  -7.0543e-07            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
