MILVUS24_US_wing
T5-a0.0°-25.0m/s-TriUniform-ThickSurf-x0.03m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.64645     0.034602     0.017955     0.016647  -1.0092e-21     -0.12314  -4.8343e-05     -0.12309   -0.0087423     0.001388  -7.0825e-06     0.001395       18.682       15.021       1.2438       24.828       1.3072      0.63935  -3.8759e-20       24.828      0.65698   4.1319e-19       24.602            0            0            0       24.964        1.596           25       3.0639     -0.33576     -0.54388     0.053306     0.051544    -0.013524    0.0086393        2.775       56.364       33.224      0.91893     0.033321            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0            0        -14.5      0.64942     0.034604     0.017881     0.016724  -9.8611e-22     -0.12371  -4.8252e-05     -0.12366   -0.0084767    0.0013458  -6.8316e-06    0.0013527       18.767       15.124       1.2409       24.942       1.3086      0.64229  -3.7873e-20       24.942      0.65998   3.3268e-19       24.715            0            0            0       24.965       1.5851           25       3.0501     -0.32556     -0.54639     0.051688     0.051544    -0.013053    0.0086377       2.7877        55.98       33.226      0.92316     0.033474            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0            0          -14      0.65231     0.034606     0.017808     0.016798  -9.6276e-22     -0.12426  -4.8163e-05     -0.12421   -0.0082085    0.0013033  -6.5822e-06    0.0013099        18.85       15.224       1.2381       25.053       1.3099      0.64514  -3.6976e-20       25.053      0.66289   2.5344e-19       24.825            0            0            0       24.965       1.5747           25       3.0368     -0.31526     -0.54882     0.050054     0.051545    -0.012584    0.0086363       2.8001       55.612       33.227      0.92726     0.033623            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0            0        -13.5       0.6551     0.034608     0.017738      0.01687  -9.3916e-22     -0.12479  -4.8076e-05     -0.12474   -0.0079378    0.0012603  -6.3342e-06    0.0012667       18.929       15.321       1.2355        25.16       1.3113      0.64791   -3.607e-20        25.16      0.66571   1.7552e-19       24.931            0            0            0       24.965       1.5647           25        3.024     -0.30486     -0.55117     0.048405     0.051545    -0.012117    0.0086348        2.812       55.259       33.229      0.93123     0.033767            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0            0          -13       0.6578     0.034609      0.01767     0.016939  -9.1531e-22      -0.1253  -4.7991e-05     -0.12526   -0.0076647     0.001217  -6.0875e-06    0.0012231       19.006       15.415        1.233       25.264       1.3125      0.65057  -3.5154e-20       25.264      0.66843   9.8917e-20       25.034            0            0            0       24.965       1.5552           25       3.0118     -0.29437     -0.55344     0.046741     0.051545    -0.011652    0.0086335       2.8236       54.922       33.231      0.93507     0.033906            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0            0        -12.5       0.6604     0.034611     0.017605     0.017006  -8.9121e-22      -0.1258  -4.7908e-05     -0.12575   -0.0073893    0.0011733  -5.8193e-06    0.0011791       19.081       15.506       1.2305       25.364       1.3138      0.65315  -3.4228e-20       25.364      0.67106   2.3669e-20       25.133            0            0            0       24.966       1.5461           25       3.0001      -0.2838     -0.55563     0.045063     0.051545    -0.011189    0.0086322       2.8347       54.601       33.232      0.93877     0.034041            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0            0          -12      0.66291     0.034613     0.017542     0.017071  -8.6688e-22     -0.12628  -4.7828e-05     -0.12623   -0.0071116    0.0011293  -5.5761e-06    0.0011348       19.152       15.593       1.2282        25.46        1.315      0.65563  -3.3294e-20        25.46      0.67359  -5.0203e-20       25.229            0            0            0       24.966       1.5374           25       2.9889     -0.27313     -0.55774      0.04337     0.051546    -0.010728    0.0086309       2.8455       54.294       33.234      0.94233      0.03417            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0            0        -11.5      0.66532     0.034615     0.017482     0.017133  -8.4231e-22     -0.12674  -4.7751e-05     -0.12669   -0.0068318    0.0010849  -5.3115e-06    0.0010902       19.221       15.678        1.226       25.553       1.3162      0.65801   -3.235e-20       25.553      0.67602  -1.2268e-19       25.321            0            0            0       24.966       1.5291           25       2.9783     -0.26238     -0.55977     0.041666     0.051546    -0.010268    0.0086298       2.8558       54.003       33.236      0.94576     0.034294            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0            0          -11      0.66763     0.034617     0.017425     0.017192  -8.1753e-22     -0.12718  -4.7677e-05     -0.12713   -0.0065498    0.0010401  -5.0715e-06    0.0010452       19.286       15.759       1.2239       25.641       1.3174       0.6603  -3.1398e-20       25.641      0.67835  -1.9374e-19       25.409            0            0            0       24.966       1.5213           25       2.9682     -0.25156     -0.56172     0.039947     0.051546   -0.0098105    0.0086286       2.8657       53.725       33.238      0.94905     0.034414            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0            0        -10.5      0.66985     0.034619      0.01737      0.01725  -7.9254e-22      -0.1276  -4.7605e-05     -0.12755   -0.0062659   0.00099504  -4.8328e-06   0.00099988       19.349       15.836       1.2218       25.727       1.3185      0.66249  -3.0438e-20       25.727      0.68059  -2.6335e-19       25.493            0            0            0       24.967       1.5138           25       2.9585     -0.24065     -0.56358     0.038216     0.051546   -0.0093542    0.0086276       2.8752       53.462        33.24       0.9522     0.034528            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
