MILVUS24_US_wing
wing_T5-a0.0°-25.0m/s-TriUniform-ThickSurf-x0.031m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15       0.6484     0.034633     0.017907     0.016726  -2.6592e-21     -0.12901  -4.8213e-05     -0.12896   -0.0087031    0.0013874  -1.1754e-05    0.0013992       18.722       15.075       1.2419       24.903       1.3082      0.64238  -1.0213e-19       24.903      0.93477   6.0424e-17        25.44            0            0            0       24.964       2.1203           25       3.0574     -0.33425     -0.56982     0.053286      0.05449    -0.013422    0.0088938       3.2589       133.12       33.253      0.92011     0.035331            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0            0        -14.5      0.65138     0.034635     0.017832     0.016803  -2.6542e-21     -0.12961  -4.8121e-05     -0.12956   -0.0084387    0.0013453  -1.1332e-05    0.0013567       18.807       15.179        1.239       25.017       1.3096      0.64534  -1.0194e-19       25.017      0.93904   6.0031e-17       25.557            0            0            0       24.965       2.1058           25       3.0436      -0.3241     -0.57244     0.051669      0.05449    -0.012955    0.0088924       3.2739       132.21       33.255      0.92435     0.035494            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0            0          -14      0.65428     0.034637     0.017759     0.016878  -2.6487e-21     -0.13018  -4.8031e-05     -0.13014   -0.0081717    0.0013028  -1.0913e-05    0.0013137        18.89       15.279       1.2363       25.128        1.311      0.64821  -1.0173e-19       25.128      0.94317   5.9631e-17       25.671            0            0            0       24.965        2.092           25       3.0304     -0.31385     -0.57499     0.050037     0.054491     -0.01249    0.0088911       3.2884       131.34       33.257      0.92845     0.035652            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0            0        -13.5      0.65708     0.034639     0.017689      0.01695  -2.6428e-21     -0.13074  -4.7943e-05     -0.13069   -0.0079022    0.0012599  -1.0497e-05    0.0012704       18.969       15.377       1.2336       25.236       1.3124      0.65098   -1.015e-19       25.236      0.94718   5.9223e-17       25.781            0            0            0       24.965       2.0787           25       3.0176      -0.3035     -0.57745     0.048389     0.054491    -0.012026    0.0088898       3.3025       130.51       33.259      0.93243     0.035805            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0            0          -13      0.65978     0.034641     0.017621      0.01702  -2.6365e-21     -0.13128  -4.7857e-05     -0.13123   -0.0076304    0.0012166  -1.0084e-05    0.0012267       19.047       15.471       1.2311        25.34       1.3137      0.65366  -1.0126e-19        25.34      0.95105   5.8808e-17       25.887            0            0            0       24.966       2.0661           25       3.0054     -0.29306     -0.57983     0.046726     0.054491    -0.011565    0.0088886       3.3161       129.72       33.261      0.93627     0.035952            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0            0        -12.5      0.66239     0.034643     0.017556     0.017087  -2.6297e-21      -0.1318  -4.7774e-05     -0.13175   -0.0073562     0.001173    -9.65e-06    0.0011826       19.121       15.562       1.2287        25.44       1.3149      0.65625    -1.01e-19        25.44      0.95478   5.8386e-17        25.99            0            0            0       24.966        2.054           25       2.9938     -0.28252     -0.58212      0.04505     0.054491    -0.011105    0.0088874       3.3291       128.96       33.262      0.93997     0.036095            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0            0          -12      0.66491     0.034645     0.017493     0.017152  -2.6224e-21      -0.1323  -4.7693e-05     -0.13225   -0.0070797    0.0011289  -9.2371e-06    0.0011382       19.192        15.65       1.2264       25.537       1.3162      0.65874  -1.0072e-19       25.537      0.95837   5.7957e-17       26.088            0            0            0       24.966       2.0425           25       2.9827     -0.27191     -0.58434     0.043359     0.054492    -0.010648    0.0088863       3.3418       128.23       33.264      0.94354     0.036232            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0            0        -11.5      0.66733     0.034647     0.017433     0.017214  -2.6147e-21     -0.13278  -4.7616e-05     -0.13273   -0.0068011    0.0010846  -8.8155e-06    0.0010934       19.261       15.734       1.2241        25.63       1.3174      0.66114  -1.0042e-19        25.63      0.96183   5.7521e-17       26.183            0            0            0       24.966       2.0315           25       2.9721     -0.26121     -0.58646     0.041655     0.054492    -0.010192    0.0088853       3.3539       127.55       33.266      0.94697     0.036364            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0            0          -11      0.66965     0.034649     0.017375     0.017274  -2.6066e-21     -0.13324   -4.754e-05      -0.1332   -0.0065205    0.0010399  -8.4144e-06    0.0010483       19.327       15.815        1.222       25.719       1.3186      0.66344  -1.0011e-19       25.719      0.96515   5.7078e-17       26.275            0            0            0       24.967       2.0211           25        2.962     -0.25043      -0.5885     0.039937     0.054492   -0.0097372    0.0088842       3.3655       126.89       33.269      0.95027      0.03649            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0            0        -10.5      0.67187     0.034651      0.01732     0.017331   -2.598e-21     -0.13369  -4.7468e-05     -0.13364   -0.0062378   0.00099482  -8.0155e-06    0.0010028        19.39       15.893         1.22       25.804       1.3197      0.66564  -9.9778e-20       25.804      0.96832   5.6629e-17       26.362            0            0            0       24.967       2.0112           25       2.9524     -0.23957     -0.59046     0.038207     0.054492   -0.0092843    0.0088833       3.3767       126.27        33.27      0.95342     0.036612            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
