MILVUS24_US_wing_extended
T1-25.0 m/s-TriUniform-ThickSurf-x0.029m
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -13.5            0     -0.53253      0.27696      0.26817    0.0087875  -3.1423e-20     -0.13988  -0.00089312     -0.13898   1.1318e-13   4.9995e-14   4.1098e-14   8.8976e-15      -1.9227      -1.4031            0       -23.52       12.233      -5.1133  -1.3879e-18      -22.961      -4.4694  -5.5587e-13      -22.772            0            0            0        22.18      -21.243           25      -27.479   5.6955e-12     -0.71047   1.1271e-12   -0.0036434  -2.4644e-13   -0.0026711      -2.9209      -1333.7       305.82       1.0272    0.0019402            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0          -13            0     -0.48678       0.2588      0.25145     0.007344  -2.7881e-20     -0.13991  -0.00083316     -0.13907   1.0271e-13   4.3075e-14   3.5605e-14   7.4703e-15       -1.881      -1.3123            0        -21.5        11.43      -4.5204  -1.2314e-18      -21.022      -3.9153  -4.6902e-13      -20.857            0            0            0       22.074      -22.713           25      -27.997   5.1685e-12     -0.71061   9.5825e-13   -0.0065276  -2.4183e-13   -0.0031837      -2.6714        -1426       285.76        1.027    0.0031775            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0        -12.5            0     -0.44095      0.24077      0.23475    0.0060262  -2.4522e-20     -0.13993  -0.00077377     -0.13916   9.2277e-14   4.1586e-14   3.5312e-14   6.2734e-15      -1.8314      -1.2161            0      -19.476       10.634      -3.9554  -1.0831e-18      -19.072       -3.388   -3.897e-13       -18.93            0            0            0       21.942       -24.51           25      -28.636   4.6449e-12     -0.71074   1.0477e-12    -0.010032  -2.3998e-13    -0.003812      -2.4204      -1538.8       265.86        1.027    0.0044237            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0          -12            0     -0.39503       0.2216      0.21676    0.0048356  -2.1347e-20     -0.13995  -0.00071069     -0.13924   8.1463e-14   3.1797e-14   2.6732e-14   5.0652e-15      -1.7827      -1.1204            0      -17.448       9.7874      -3.4186  -9.4283e-19      -17.111      -2.8875  -3.1693e-13      -16.991            0            0            0       21.804      -26.603           25      -29.291   4.1008e-12     -0.71083   7.1943e-13    -0.014374  -2.3872e-13   -0.0045967      -2.1681      -1670.2       244.68       1.0272    0.0056781            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0        -11.5            0     -0.34904      0.20195      0.19817    0.0037735  -1.8356e-20     -0.13996  -0.00064623     -0.13931   7.1125e-14   2.7687e-14   2.3561e-14    4.126e-15      -1.7284      -1.0211            0      -15.416       8.9194      -2.9101  -8.1073e-19       -15.14      -2.4141  -2.5187e-13      -15.042            0            0            0       21.639      -29.191           25      -30.053   3.5819e-12     -0.71089   6.5783e-13    -0.019884  -2.3421e-13   -0.0055999      -1.9145      -1832.7       222.99       1.0276    0.0069402            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0          -11            0     -0.30297      0.17942      0.17658    0.0028414  -1.5551e-20     -0.13996  -0.00057264     -0.13938   6.0471e-14   2.1541e-14   1.8322e-14    3.219e-15      -1.6886     -0.92942            0      -13.381       7.9247      -2.4301  -6.8684e-19      -13.159      -1.9678  -1.9366e-13      -13.082            0            0            0       21.511       -32.07           25      -30.635   3.0462e-12     -0.71088   4.8791e-13    -0.027096  -2.2988e-13   -0.0069217      -1.6598      -2013.5       198.12       1.0283    0.0082093            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0        -10.5            0     -0.25683      0.14435      0.14231    0.0020404  -1.2932e-20     -0.13991  -0.00045891     -0.13945   4.9718e-14   1.5161e-14   1.2726e-14   2.4356e-15      -1.7793      -0.9017            0      -11.344       6.3756      -1.9786  -5.7117e-19       -11.17      -1.5488  -1.4285e-13      -11.113            0            0            0       21.794      -33.056           25      -29.337   2.5056e-12     -0.71065   2.9699e-13     -0.03693  -2.2301e-13   -0.0087343      -1.4038      -2075.4       159.39       1.0291    0.0094848            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0          -10            0     -0.21064      0.12954      0.12816    0.0013715    -1.05e-20     -0.13993  -0.00041092     -0.13952   3.9164e-14   1.0637e-14   8.8217e-15   1.8157e-15      -1.6262     -0.74634            0      -9.3036       5.7212      -1.5559  -4.6378e-19      -9.1728      -1.1572   -9.933e-14      -9.1352            0            0            0       21.296      -39.937           25      -31.589    1.975e-12     -0.71073   1.8668e-13     -0.05111  -2.1258e-13    -0.011361      -1.1469      -2507.4       143.03       1.0298     0.010766            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0         -9.5            0      -0.1644      0.11687      0.11603   0.00083578  -8.2568e-21     -0.13995  -0.00036986     -0.13958   2.8463e-14    8.041e-15   6.7434e-15   1.2976e-15      -1.4067     -0.57039            0      -7.2613       5.1618      -1.1621  -3.6468e-19      -7.1678     -0.79316   -6.299e-14      -7.1486            0            0            0       20.376      -52.257           25      -35.408   1.4368e-12     -0.71082    1.642e-13     -0.07331  -1.9818e-13    -0.015491     -0.88894      -3280.9       129.05       1.0294     0.012053            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0           -9            0     -0.11812     0.098666     0.098232   0.00043415  -6.2018e-21     -0.13994  -0.00031125     -0.13963   1.7559e-14   2.5655e-15   1.7034e-15   8.6209e-16      -1.1972     -0.41146            0      -5.2171       4.3578     -0.79719  -2.7392e-19      -5.1559     -0.45678  -3.3993e-14      -5.1543            0            0            0       19.187      -72.442           25      -39.872   8.8775e-13     -0.71081  -1.0806e-14     -0.11297  -1.7029e-13    -0.022893      -0.6301      -4548.2       108.95        1.023     0.013344            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
