MILVUS24_US_wing_extended2
T1-25.0 m/s-TriUniform-ThickSurf-x0.029m
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -13.5            0     -0.58625       0.2932      0.28631    0.0068839            0     -0.12725   0.00039486     -0.12764  -5.7032e-14  -2.9663e-14  -2.5095e-14   -4.568e-15      -1.9995       -1.531            0      -48.947        24.48      -10.868            0      -47.729      -9.5457  -1.3573e-12      -47.266            0            0            0        22.36       -14.16           25      -26.571  -9.4384e-12       -1.328  -2.5933e-12  -0.00094492   1.9375e-13    -0.002429      -10.925      -889.05       611.99      0.99325   0.00055396            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0          -13            0      -0.5362      0.27556       0.2698    0.0057575            0     -0.12843   0.00033044     -0.12876   -4.059e-14  -2.4494e-14  -2.1044e-14    -3.45e-15      -1.9459      -1.4249            0      -44.768       23.007      -9.6023            0      -43.729      -8.3624  -1.2543e-12      -43.318            0            0            0       22.236      -15.215           25      -27.199  -6.7338e-12      -1.3404  -2.4604e-12    -0.003788   1.5335e-13    -0.002928      -10.002      -955.25       575.17      0.99346    0.0020311            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0        -12.5            0     -0.48607      0.25656      0.25183    0.0047287            0     -0.12962   0.00026953     -0.12989  -2.4146e-14  -1.2104e-14  -9.5413e-15  -2.5627e-15      -1.8946      -1.3209            0      -40.583        21.42      -8.3983            0      -39.706      -7.2378  -1.1491e-12      -39.345            0            0            0       22.109      -16.413           25      -27.826   -4.029e-12      -1.3528  -1.1007e-12     -0.00724    1.001e-13   -0.0035404      -9.0739      -1030.5       535.51        0.994    0.0035191            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0          -12            0     -0.43586      0.23711      0.23331    0.0037986            0     -0.13081   0.00021365     -0.13102  -7.3905e-15  -6.2894e-15  -4.5074e-15   -1.782e-15      -1.8382      -1.2136            0      -36.391       19.797      -7.2559            0      -35.662      -6.1721  -1.0411e-12      -35.348            0            0            0       21.961      -17.864           25      -28.546   -1.269e-12      -1.3652  -7.7068e-13    -0.011511   3.4724e-14   -0.0043056      -8.1406      -1121.5       494.92      0.99495    0.0050173            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0        -11.5            0     -0.38558      0.21662      0.21365    0.0029684            0     -0.13199   0.00016261     -0.13216    8.976e-15  -1.5073e-15  -2.7581e-16  -1.2315e-15        -1.78      -1.1053            0      -32.193       18.086      -6.1754            0      -31.596      -5.1657  -9.3202e-13      -31.329            0            0            0       21.796      -19.614           25      -29.327   1.4278e-12      -1.3775  -5.4549e-13    -0.016922  -4.6354e-14   -0.0052837      -7.2026      -1231.4       452.15      0.99642    0.0065248            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0          -11            0     -0.33524      0.19565      0.19341    0.0022391            0     -0.13318   0.00011729     -0.13329   2.5248e-14  -6.9494e-15   -6.175e-15   -7.743e-16      -1.7134     -0.99209            0       -27.99       16.336      -5.1572            0      -27.511      -4.2188  -8.2039e-13      -27.289            0            0            0       21.592      -21.852           25      -30.269   4.1139e-12      -1.3899  -1.9434e-12    -0.023986  -1.5208e-13   -0.0065708      -6.2601        -1372       408.39      0.99856     0.008041            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0        -10.5            0     -0.28484      0.16698      0.16537    0.0016115            0     -0.13436     7.47e-05     -0.13444   4.1939e-14   1.9451e-14   1.9903e-14  -4.5217e-16      -1.7058     -0.91039            0      -23.782       13.942      -4.2016            0      -23.408      -3.3319  -7.0711e-13      -23.228            0            0            0       21.567      -23.813           25       -30.38   6.8721e-12      -1.4023   1.9174e-12    -0.033581  -2.9559e-13   -0.0083315      -5.3133      -1495.1       348.55       1.0016    0.0095651            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0          -10            0     -0.23439      0.14037      0.13928    0.0010867            0     -0.13554   4.1359e-05     -0.13558   5.8645e-14   1.0087e-14   1.0333e-14  -2.4564e-16      -1.6698     -0.80842            0       -19.57        11.72      -3.3089            0      -19.288      -2.5051  -5.9135e-13      -19.149            0            0            0       21.448      -26.817           25      -30.916   9.6368e-12      -1.4146  -4.1735e-14    -0.047342  -5.0052e-13    -0.010872      -4.3627      -1683.7       292.99       1.0058     0.011097            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0         -9.5            0     -0.18389      0.12479      0.12412   0.00066518            0     -0.13671   1.7645e-05     -0.13673   7.5279e-14   1.8672e-14   1.8889e-14  -2.1718e-16      -1.4736     -0.63194            0      -15.354       10.419      -2.4793            0      -15.152      -1.7386  -4.7434e-13      -15.052            0            0            0       20.687      -34.306           25      -34.161   1.2392e-11      -1.4268   1.0005e-12    -0.068705  -8.1951e-13    -0.014836      -3.4085      -2153.9       260.47       1.0114     0.012634            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0           -9            0     -0.13336      0.11329      0.11295   0.00034783            0     -0.13788  -1.4272e-06     -0.13788   9.2046e-14   8.5268e-14   8.5574e-14  -3.0563e-16      -1.1771     -0.42987            0      -11.135       9.4591      -1.7131            0      -11.002      -1.0328  -3.5513e-13      -10.939            0            0            0       19.053      -50.432           25      -40.349   1.5173e-11       -1.439   1.1659e-11     -0.10631  -1.3795e-12    -0.021842      -2.4509      -3166.3       236.48       1.0172     0.014178            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
