x	Curve1		Curve2		Curve3
2.88265	0.672609	0.64839		0.603082
2.92327	0.674227	0.64244		0.604348
2.97416	0.675794	0.644201	0.606254
2.9987	0.676535	0.645152	0.607244
3.01776	0.677384	0.645904	0.608026
3.01911	0.677439	0.645958	0.608081
3.03932	0.678153	0.646756	0.608909
3.09698	0.679588	0.648908	0.61116
3.10201	0.679734	0.649076	0.611343
3.10313	0.679768	0.649112	0.611383
3.14916	0.681661	0.650465	0.612996
3.17275	0.682078	0.651164	0.613853
3.18358	0.682509	0.651495	0.614262
3.19411	0.682953	0.651824	0.61467
3.254	0.685314	0.653765	0.617091
3.29439	0.686507	0.655114	0.618731
3.32415	0.687159	0.656125	0.619888
3.36911	0.688446	0.657691	0.621519
3.38944	0.689024	0.658432	0.622225
3.42898	0.690145	0.659891	0.623575
3.51754	0.692655	0.662234	0.62651
3.5244	0.69285		0.662421	0.626733
3.52567	0.692886	0.662455	0.626774
3.57887	0.694546	0.663935	0.628475
3.69939	0.698091	0.667299	0.632231
3.70172	0.698152	0.667362	0.632303
3.70984	0.69836		0.667584	0.632553
3.88358	0.702671	0.672191	0.637728
3.90322	0.703149	0.672711	0.638269
3.9953	0.705372	0.675091	0.640681
4.01478	0.705839	0.675559	0.641202
4.0217	0.706025	0.675725	0.641391
4.11834	0.708386	0.678029	0.644108
4.20588	0.71036		0.680127	0.646519
4.21734	0.710597	0.680404	0.646822
4.26231	0.711621	0.681497	0.647974
4.39924	0.714729	0.684903	0.651278
4.41069	0.714988	0.685185	0.65155
4.45567	0.716018	0.686256	0.652621
4.56436	0.718478	0.688548	0.655264
4.61218	0.719544	0.689547	0.656485
4.66211	0.720642	0.690635	0.657771
4.70531	0.721573	0.691589	0.658806
4.75803	0.722671	0.692744	0.660022
4.81473	0.723797	0.693937	0.661338
4.88957	0.72523		0.695368	0.663108
4.90785	0.725594	0.695701	0.663548
4.98964	0.727478	0.697225	0.665518
4.99992	0.72779		0.697428	0.665758
5.00693	0.727903	0.697568	0.66592
5.10514	0.729584	0.699609	0.668045
5.16809	0.730735	0.700929	0.669413
5.20139	0.731613	0.701613	0.670136
5.20948	0.731768	0.701778	0.670309
5.21166	0.73181		0.701822	0.670356
5.30975	0.733734	0.703763	0.672436
5.40392	0.735617	0.705635	0.674524
5.41203	0.735793	0.705806	0.674699
5.41419	0.735831	0.705852	0.674745
5.49791	0.737336	0.70769		0.676354
5.5052	0.737468	0.707829	0.676486
5.6276	0.739689	0.709972	0.678783
5.71692	0.741319	0.711481	0.680657
5.73638	0.741676	0.711811	0.681083
5.76186	0.742105	0.712244	0.681644
5.86508	0.743881	0.714018	0.68379
5.92864	0.744986	0.715132	0.684901
5.9481	0.745328	0.715479	0.68523
5.97359	0.745579	0.715936	0.685664
5.98564	0.745766	0.716153	0.685892
6.0012	0.74602		0.716435	0.686028
6.00333	0.746056	0.716473	0.68607
6.07132	0.747266	0.717689	0.687511
6.11442	0.748063	0.718439	0.688394
6.14815	0.748686	0.719028	0.689014
