ALO_plane__body

Right Surface Points
        x()          y()          z()
  Cross Section   1
      -0.20999999       0.00000000       0.00000000
      -0.20999999       0.00492424      -0.00010908
      -0.20999999       0.00969697      -0.00043187
      -0.20999999       0.01431818      -0.00096168
      -0.20999999       0.01878788      -0.00169185
      -0.20999999       0.02310606      -0.00261569
      -0.20999999       0.02727273      -0.00372652
      -0.20999999       0.03128788      -0.00501767
      -0.20999999       0.03515151      -0.00648246
      -0.20999999       0.03886364      -0.00811420
      -0.20999999       0.04242424      -0.00990622
      -0.20999999       0.04583333      -0.01185185
      -0.20999999       0.04909091      -0.01394440
      -0.20999999       0.05219697      -0.01617720
      -0.20999999       0.05515151      -0.01854356
      -0.20999999       0.05795455      -0.02103681
      -0.20999999       0.06060606      -0.02365028
      -0.20999999       0.06310606      -0.02637727
      -0.20999999       0.06545455      -0.02921112
      -0.20999999       0.06765151      -0.03214514
      -0.20999999       0.06969697      -0.03517266
      -0.20999999       0.07159091      -0.03828700
      -0.20999999       0.07333333      -0.04148148
      -0.20999999       0.07492424      -0.04474942
      -0.20999999       0.07636364      -0.04808415
      -0.20999999       0.07765151      -0.05147898
      -0.20999999       0.07878788      -0.05492723
      -0.20999999       0.07977273      -0.05842224
      -0.20999999       0.08060606      -0.06195731
      -0.20999999       0.08128788      -0.06552578
      -0.20999999       0.08181818      -0.06912096
      -0.20999999       0.08219697      -0.07273618
      -0.20999999       0.08242424      -0.07636475
      -0.20999999       0.08250000      -0.08000000
      -0.20999999       0.08242424      -0.08363525
      -0.20999999       0.08219697      -0.08726382
      -0.20999999       0.08181818      -0.09087904
      -0.20999999       0.08128788      -0.09447422
      -0.20999999       0.08060606      -0.09804268
      -0.20999999       0.07977273      -0.10157776
      -0.20999999       0.07878788      -0.10507276
      -0.20999999       0.07765151      -0.10852102
      -0.20999999       0.07636364      -0.11191585
      -0.20999999       0.07492424      -0.11525057
      -0.20999999       0.07333333      -0.11851852
      -0.20999999       0.07159091      -0.12171300
      -0.20999999       0.06969697      -0.12482733
      -0.20999999       0.06765151      -0.12785485
      -0.20999999       0.06545455      -0.13078888
      -0.20999999       0.06310606      -0.13362273
      -0.20999999       0.06060606      -0.13634972
      -0.20999999       0.05795455      -0.13896318
      -0.20999999       0.05515151      -0.14145643
      -0.20999999       0.05219697      -0.14382280
      -0.20999999       0.04909091      -0.14605559
      -0.20999999       0.04583333      -0.14814814
      -0.20999999       0.04242424      -0.15009377
      -0.20999999       0.03886364      -0.15188580
      -0.20999999       0.03515151      -0.15351754
      -0.20999999       0.03128788      -0.15498233
      -0.20999999       0.02727273      -0.15627348
      -0.20999999       0.02310606      -0.15738431
      -0.20999999       0.01878788      -0.15830815
      -0.20999999       0.01431818      -0.15903831
      -0.20999999       0.00969697      -0.15956813
      -0.20999999       0.00492424      -0.15989092
      -0.20999999       0.00000000      -0.16000000

  Cross Section   2
      -0.18610022       0.00000000       0.00000000
      -0.18610022       0.00491897      -0.00011438
      -0.18610022       0.00968654      -0.00045286
      -0.18610022       0.01430273      -0.00100843
      -0.18610022       0.01876753      -0.00177410
      -0.18610022       0.02308094      -0.00274285
      -0.18610022       0.02724297      -0.00390769
      -0.18610022       0.03125362      -0.00526160
      -0.18610022       0.03511289      -0.00679760
      -0.18610022       0.03882078      -0.00850867
      -0.18610022       0.04237729      -0.01038781
      -0.18610022       0.04578243      -0.01242803
      -0.18610022       0.04903620      -0.01462231
      -0.18610022       0.05213859      -0.01696365
