Fuselage_DATA_scaled.txt
                    
Right Surface Points
        x()         y()         z()
   Cross Section   1
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
 0.00000000 -0.00000000  0.00000000
                    
   Cross Section   2
 0.00000000 -0.00000000  0.01718606
0.031341615  0.00263640  0.01648458
 0.031341615  0.00525592  0.01578311
 0.031341615  0.00775822  0.01508164
 0.031341615  0.01004294  0.01438017
 0.031341615  0.01200973  0.01367870
 0.031341615  0.01355826  0.01297723
 0.031341615  0.01461219  0.01227575
 0.031341615  0.01549834  0.01157428
 0.031341615  0.01634791  0.01087281
 0.031341615  0.01715803  0.01017134
 0.031341615  0.01792584  0.00946987
 0.031341615  0.01864850  0.00876840
 0.031341615  0.01932314  0.00806692
 0.031341615  0.01994691  0.00736545
 0.031341615  0.02051696  0.00666398
 0.031341615  0.02103041  0.00596251
 0.031341615  0.02148443  0.00526104
 0.031341615  0.02187615  0.00455957
 0.031341615  0.02220272  0.00385809
 0.031341615  0.02246127  0.00315662
 0.031341615  0.02264896  0.00245515
 0.031341615  0.02276293  0.00175368
 0.031341615  0.02280033  0.00105221
 0.031341615  0.02278516  0.00035074
 0.031341615  0.02274066 -0.00035074
 0.031341615  0.02266629 -0.00105221
 0.031341615  0.02256150 -0.00175368
 0.031341615  0.02242576 -0.00245515
 0.031341615  0.02225853 -0.00315662
 0.031341615  0.02205928 -0.00385809
 0.031341615  0.02182746 -0.00455957
 0.031341615  0.02156254 -0.00526104
 0.031341615  0.02126398 -0.00596251
 0.031341615  0.02093124 -0.00666398
 0.031341615  0.02056379 -0.00736545
