FDA-1 V0.0_scaled_2.2-wing04_DPv1_TOLD_Full_UAV_v3.1_body

Right Surface Points
        x()          y()          z()
  Cross Section   1
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051
        0.000          0.000          0.051

  Cross Section   2
        0.044          0.000          0.079
        0.044          0.005          0.078
        0.044          0.010          0.078
        0.044          0.013          0.077
        0.044          0.017          0.077
        0.044          0.020          0.076
        0.044          0.022          0.075
        0.044          0.024          0.075
        0.044          0.025          0.074
        0.044          0.027          0.073
        0.044          0.027          0.072
        0.044          0.028          0.071
        0.044          0.029          0.070
        0.044          0.029          0.070
        0.044          0.029          0.069
        0.044          0.029          0.068
        0.044          0.029          0.067
        0.044          0.029          0.066
        0.044          0.029          0.065
        0.044          0.029          0.064
        0.044          0.029          0.063
        0.044          0.029          0.062
        0.044          0.029          0.062
        0.044          0.029          0.061
        0.044          0.029          0.060
        0.044          0.028          0.059
        0.044          0.028          0.059
        0.044          0.027          0.058
        0.044          0.026          0.057
        0.044          0.024          0.057
        0.044          0.022          0.056
        0.044          0.020          0.056
        0.044          0.017          0.055
        0.044          0.014          0.055
        0.044          0.010          0.055
        0.044          0.005          0.054
        0.044          0.000          0.054

  Cross Section   3
        0.086          0.000          0.102
        0.086          0.009          0.101
        0.086          0.018          0.100
        0.086          0.025          0.099
        0.086          0.031          0.098
        0.086          0.036          0.097
        0.086          0.041          0.096
        0.086          0.044          0.094
        0.086          0.047          0.092
        0.086          0.049          0.091
        0.086          0.051          0.089
        0.086          0.052          0.087
        0.086          0.053          0.085
        0.086          0.054          0.084
        0.086          0.054          0.082
        0.086          0.054          0.080
        0.086          0.054          0.078
        0.086          0.054          0.076
        0.086          0.054          0.074
        0.086          0.054          0.072
        0.086          0.054          0.070
        0.086          0.054          0.069
        0.086          0.054          0.067
        0.086          0.054          0.065
        0.086          0.054          0.064
        0.086          0.053          0.062
        0.086          0.052          0.060
        0.086          0.050          0.059
        0.086          0.048          0.058
        0.086          0.045          0.057
        0.086          0.041          0.055
        0.086          0.037          0.054
        0.086          0.032          0.053
        0.086          0.025          0.053
        0.086          0.018          0.052
        0.086          0.010          0.051
        0.086          0.000          0.051

  Cross Section   4
        0.127          0.000          0.121
        0.127          0.013          0.120
        0.127          0.025          0.119
        0.127          0.035          0.117
        0.127          0.043          0.116
        0.127          0.051          0.114
        0.127          0.057          0.112
        0.127          0.062          0.110
        0.127          0.066          0.107
        0.127          0.069          0.105
        0.127          0.072          0.102
        0.127          0.073          0.099
        0.127          0.075          0.097
        0.127          0.075          0.094
        0.127          0.076          0.091
        0.127          0.076          0.088
