Body Name

Right Surface Points
        x()          y()          z()
  Cross Section   1
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000
       0.00000000       0.00000000       0.00000000

  Cross Section   2
       0.21271423       0.00000000       0.14110962
       0.21271423       0.00857346       0.14084657
       0.21271423       0.01659565       0.14001462
       0.21271423       0.02408173       0.13864184
       0.21271423       0.03104684       0.13675631
       0.21271423       0.03750615       0.13438610
       0.21271423       0.04347480       0.13155929
       0.21271423       0.04896796       0.12830395
       0.21271423       0.05400076       0.12464816
       0.21271423       0.05858838       0.12061999
       0.21271423       0.06274595       0.11624752
       0.21271423       0.06648864       0.11155883
       0.21271423       0.06983159       0.10658199
       0.21271423       0.07278997       0.10134507
       0.21271423       0.07537893       0.09587615
       0.21271423       0.07761361       0.09020331
       0.21271423       0.07950917       0.08435462
       0.21271423       0.08108078       0.07835815
       0.21271423       0.08234357       0.07224199
       0.21271423       0.08331271       0.06603421
       0.21271423       0.08400334       0.05976288
       0.21271423       0.08443063       0.05345608
       0.21271423       0.08460972       0.04714188
