ALO_plane_DEFINITIVO_body

Right Surface Points
        x()          y()          z()
  Cross Section   1
      -0.43399999       0.00000000      -0.03402656
      -0.43399999       0.00114529      -0.03432483
      -0.43399999       0.00225230      -0.03465024
      -0.43399999       0.00332117      -0.03500190
      -0.43399999       0.00435203      -0.03537893
      -0.43399999       0.00534504      -0.03578045
      -0.43399999       0.00630033      -0.03620557
      -0.43399999       0.00721806      -0.03665340
      -0.43399999       0.00809835      -0.03712307
      -0.43399999       0.00894136      -0.03761368
      -0.43399999       0.00974722      -0.03812436
      -0.43399999       0.01051608      -0.03865421
      -0.43399999       0.01124809      -0.03920236
      -0.43399999       0.01194338      -0.03976792
      -0.43399999       0.01260210      -0.04035000
      -0.43399999       0.01322439      -0.04094772
      -0.43399999       0.01381039      -0.04156019
      -0.43399999       0.01436025      -0.04218653
      -0.43399999       0.01487411      -0.04282586
      -0.43399999       0.01535211      -0.04347729
      -0.43399999       0.01579439      -0.04413994
      -0.43399999       0.01620110      -0.04481292
      -0.43399999       0.01657238      -0.04549534
      -0.43399999       0.01690837      -0.04618633
      -0.43399999       0.01720922      -0.04688500
      -0.43399999       0.01747507      -0.04759046
      -0.43399999       0.01770605      -0.04830182
      -0.43399999       0.01790232      -0.04901821
      -0.43399999       0.01806402      -0.04973874
      -0.43399999       0.01819129      -0.05046253
      -0.43399999       0.01828427      -0.05118868
      -0.43399999       0.01834310      -0.05191632
      -0.43399999       0.01836793      -0.05264457
      -0.43399999       0.01835890      -0.05337252
      -0.43399999       0.01831616      -0.05409931
      -0.43399999       0.01823984      -0.05482405
      -0.43399999       0.01813008      -0.05554585
      -0.43399999       0.01798704      -0.05626382
      -0.43399999       0.01781086      -0.05697709
      -0.43399999       0.01760167      -0.05768477
      -0.43399999       0.01735962      -0.05838597
      -0.43399999       0.01708485      -0.05907981
      -0.43399999       0.01677751      -0.05976541
      -0.43399999       0.01643773      -0.06044188
      -0.43399999       0.01606567      -0.06110833
      -0.43399999       0.01566146      -0.06176388
      -0.43399999       0.01522524      -0.06240765
      -0.43399999       0.01475717      -0.06303875
      -0.43399999       0.01425737      -0.06365630
      -0.43399999       0.01372601      -0.06425940
      -0.43399999       0.01316320      -0.06484719
      -0.43399999       0.01256911      -0.06541877
      -0.43399999       0.01194387      -0.06597326
      -0.43399999       0.01128763      -0.06650977
      -0.43399999       0.01060052      -0.06702743
      -0.43399999       0.00988270      -0.06752533
      -0.43399999       0.00913430      -0.06800261
      -0.43399999       0.00835546      -0.06845837
      -0.43399999       0.00754634      -0.06889173
      -0.43399999       0.00670706      -0.06930181
      -0.43399999       0.00583778      -0.06968772
      -0.43399999       0.00493864      -0.07004858
      -0.43399999       0.00400978      -0.07038350
      -0.43399999       0.00305135      -0.07069160
      -0.43399999       0.00206347      -0.07097199
      -0.43399999       0.00104631      -0.07122379
      -0.43399999       0.00000000      -0.07144611

  Cross Section   2
      -0.41044855       0.00000000      -0.02870730
      -0.41044855       0.00167780      -0.02887169
      -0.41044855       0.00329718      -0.02909589
      -0.41044855       0.00485846      -0.02937809
      -0.41044855       0.00636195      -0.02971647
      -0.41044855       0.00780799      -0.03010922
      -0.41044855       0.00919688      -0.03055451
      -0.41044855       0.01052895      -0.03105055
      -0.41044855       0.01180451      -0.03159550
      -0.41044855       0.01302388      -0.03218756
      -0.41044855       0.01418738      -0.03282490
      -0.41044855       0.01529533      -0.03350572
      -0.41044855       0.01634805      -0.03422819
      -0.41044855       0.01734585      -0.03499051
